exit_date,return_pct,fill_h,signal_date
2025-08-04,6.743754867117446,1d,2025-08-01
2025-10-31,8.703335773658406,1d,2025-10-30
2025-11-05,-1.5774422557744194,1d,2025-11-04
2025-11-07,-1.2849655401091398,1d,2025-11-06
2025-11-14,-1.7675730681977142,1d,2025-11-13
2025-11-21,-2.2106453077885613,1d,2025-11-20
2025-12-01,3.6074605010134153,1d,2025-11-28
2026-01-21,0.40218982309676576,1d,2026-01-20
2026-02-24,-1.1724842865889373,1d,2026-02-23
2026-03-04,-1.260523973754768,1d,2026-03-03
2026-03-09,-2.318929505502798,1d,2026-03-06
2026-03-13,-1.2626655597908987,1d,2026-03-12
2026-03-19,-1.7211086285330857,1d,2026-03-18
2026-03-20,-0.019998000199983323,1d,2026-03-19
2026-03-23,-0.01999800019997222,3d,2026-03-20
2026-03-25,0.07724107535753699,1d,2026-03-24
2026-03-27,-1.4804834216371243,1d,2026-03-26
2026-03-30,-0.019998000199994426,1d,2026-03-27
2026-04-22,10.971011078063931,3d,2026-04-21
2026-04-24,0.15614717598007033,1mo_stop,2026-04-23
2026-04-29,-0.3242124292134885,1d,2026-04-28
2026-05-18,3.5041980878105505,1d,2026-05-15
2026-05-20,0.10927182205222596,1d,2026-05-19
2026-06-04,1.7977709992955004,1d,2026-06-03
2026-06-08,-1.2094292425046227,1d,2026-06-05
2026-06-10,-1.3967515207383596,1d,2026-06-09
